Outbound: Paris ➜ Barcelona,Wednesday 01 August,-,-,-
Outbound: Paris ➜ Barcelona,Wednesday 08 August,08:00 ➜ 02:40,18h40, 1 change,€94.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,09:00 ➜ 09:45,24h45, 1 change,€106.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,10:00 ➜ 05:35,19h35, 1 change,€60.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,10:00 ➜ 09:45,23h45, 2 changes,€99.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,10:07 ➜ 16:34,6h27, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,10:59 ➜ 19:31,8h32, 1 change,€155.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,12:30 ➜ 10:15,21h45, 1 change,€93.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,13:00 ➜ 06:15,17h15, 1 change,€69.98
Outbound: Paris ➜ Barcelona,Wednesday 08 August,13:00 ➜ 10:15,21h15, 1 change,€85.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,14:00 ➜ 07:55,17h55, 1 change,€73.98
Outbound: Paris ➜ Barcelona,Wednesday 08 August,14:07 ➜ 20:34,6h27, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,14:30 ➜ 05:45,15h15, 0 changes,€70.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,16:00 ➜ 18:30,26h30, 2 changes,€73.60
Outbound: Paris ➜ Barcelona,Wednesday 08 August,16:07 ➜ 22:44,6h37, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,07:00 ➜ 09:45,26h45, 1 change,€106.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,07:15 ➜ 13:34,6h19, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,07:15 ➜ 19:31,12h16, 1 change,€119.99
